n_qubits,state_model,first_crossing_density,delta_from_uniform,ratio_to_uniform,perturbation_amplitude,perturbation_frequency,phase_relaxation_steps_mean,torsion_hysteresis_mean,volatility_index_mean,volatility_index_max,catastrophic_unraveling_amplitude,spread_min,spread_max,spread,crossing_seed_count,density_threshold,wall_runtime_ms
4,uniform-random,0.12,,,0.2,46.0,15.833333,0.067316,0.145455,0.173856,0.2,0.12,0.12,0.0,2,0.12,38.790188
4,uniform-random,0.12,,,0.6,46.0,46.833333,0.201946,0.434802,0.519224,0.6,0.12,0.12,0.0,2,0.12,34.532063
4,uniform-random,0.12,,,0.2,47.0,14.5,0.061781,0.133422,0.168888,0.2,0.12,0.12,0.0,2,0.12,37.871729
4,uniform-random,0.12,,,0.6,47.0,42.833333,0.185342,0.398703,0.506663,0.6,0.12,0.12,0.0,2,0.12,34.243488
4,uniform-random,0.12,,,0.2,48.0,14.5,0.061126,0.132367,0.16555,0.2,0.12,0.12,0.0,2,0.12,37.564523
4,uniform-random,0.12,,,0.6,48.0,42.333333,0.183377,0.394367,0.494307,0.6,0.12,0.12,0.0,2,0.12,43.960389
4,uniform-random,0.12,,,0.2,49.0,14.666667,0.061096,0.132711,0.1658,0.2,0.12,0.12,0.0,2,0.12,41.767403
4,uniform-random,0.12,,,0.6,49.0,42.666667,0.183289,0.395007,0.495056,0.6,0.12,0.12,0.0,2,0.12,37.811892
4,uniform-random,0.12,,,0.2,50.0,18.0,0.077449,0.166844,0.168649,0.2,0.12,0.12,0.0,2,0.12,39.880857
4,uniform-random,0.12,,,0.6,50.0,53.333333,0.232347,0.498968,0.505946,0.6,0.12,0.12,0.0,2,0.12,40.164716
4,uniform-random,0.12,,,0.2,51.0,15.5,0.065619,0.141943,0.168377,0.2,0.12,0.12,0.0,2,0.12,33.01358
4,uniform-random,0.12,,,0.6,51.0,45.666667,0.196856,0.423874,0.50513,0.6,0.12,0.12,0.0,2,0.12,33.586746
4,uniform-random,0.12,,,0.2,52.0,12.833333,0.05342,0.11606,0.168888,0.2,0.12,0.12,0.0,2,0.12,31.334856
4,uniform-random,0.12,,,0.6,52.0,37.166667,0.160261,0.345053,0.506663,0.6,0.12,0.12,0.0,2,0.12,43.812695
4,uniform-random,0.12,,,0.2,53.0,14.666667,0.062089,0.134309,0.16555,0.2,0.12,0.12,0.0,2,0.12,45.628534
4,uniform-random,0.12,,,0.6,53.0,43.0,0.186268,0.400584,0.494307,0.6,0.12,0.12,0.0,2,0.12,37.263022
4,uniform-random,0.12,,,0.2,54.0,15.833333,0.066808,0.144638,0.167316,0.2,0.12,0.12,0.0,2,0.12,36.835481
4,uniform-random,0.12,,,0.6,54.0,46.5,0.200422,0.431569,0.501947,0.6,0.12,0.12,0.0,2,0.12,39.263975
5,uniform-random,0.12,,,0.2,46.0,16.166667,0.06866,0.148401,0.174797,0.2,0.12,0.12,0.0,2,0.12,33.448091
5,uniform-random,0.12,,,0.6,46.0,47.666667,0.20598,0.443249,0.522048,0.6,0.12,0.12,0.0,2,0.12,32.072318
5,uniform-random,0.12,,,0.2,47.0,14.833333,0.063018,0.136194,0.176412,0.2,0.12,0.12,0.0,2,0.12,34.890661
5,uniform-random,0.12,,,0.6,47.0,43.833333,0.189052,0.407019,0.529236,0.6,0.12,0.12,0.0,2,0.12,33.195552
5,uniform-random,0.12,,,0.2,48.0,14.666667,0.062347,0.134725,0.167931,0.2,0.12,0.12,0.0,2,0.12,49.511477
5,uniform-random,0.12,,,0.6,48.0,43.333333,0.187042,0.40261,0.503792,0.6,0.12,0.12,0.0,2,0.12,39.860801
5,uniform-random,0.12,,,0.2,49.0,14.666667,0.062167,0.134434,0.168055,0.2,0.12,0.12,0.0,2,0.12,36.380151
5,uniform-random,0.12,,,0.6,49.0,43.0,0.186501,0.400959,0.504165,0.6,0.12,0.12,0.0,2,0.12,41.091834
5,uniform-random,0.12,,,0.2,50.0,18.5,0.078937,0.170411,0.172696,0.2,0.12,0.12,0.0,2,0.12,36.526751
5,uniform-random,0.12,,,0.6,50.0,54.5,0.236812,0.50889,0.513401,0.6,0.12,0.12,0.0,2,0.12,35.14851
5,uniform-random,0.12,,,0.2,51.0,15.833333,0.066954,0.144873,0.17445,0.2,0.12,0.12,0.0,2,0.12,34.203663
5,uniform-random,0.12,,,0.6,51.0,46.5,0.200862,0.432277,0.521008,0.6,0.12,0.12,0.0,2,0.12,35.210479
5,uniform-random,0.12,,,0.2,52.0,13.0,0.054539,0.118251,0.172774,0.2,0.12,0.12,0.0,2,0.12,39.734991
5,uniform-random,0.12,,,0.6,52.0,38.0,0.163617,0.352408,0.513634,0.6,0.12,0.12,0.0,2,0.12,40.391096
5,uniform-random,0.12,,,0.2,53.0,14.833333,0.063129,0.136374,0.167931,0.2,0.12,0.12,0.0,2,0.12,30.72148
5,uniform-random,0.12,,,0.6,53.0,43.666667,0.189388,0.407168,0.503792,0.6,0.12,0.12,0.0,2,0.12,36.045532
5,uniform-random,0.12,,,0.2,54.0,16.0,0.06811,0.147124,0.168055,0.2,0.12,0.12,0.0,2,0.12,33.208896
5,uniform-random,0.12,,,0.6,54.0,47.0,0.204328,0.439027,0.504165,0.6,0.12,0.12,0.0,2,0.12,36.047597
6,uniform-random,0.12,,,0.2,46.0,16.166667,0.069362,0.14953,0.176742,0.2,0.12,0.12,0.0,2,0.12,42.500455
6,uniform-random,0.12,,,0.6,46.0,48.0,0.208086,0.44742,0.530226,0.6,0.12,0.12,0.0,2,0.12,40.092084
6,uniform-random,0.12,,,0.2,47.0,15.0,0.063665,0.137628,0.177388,0.2,0.12,0.12,0.0,2,0.12,43.168393
6,uniform-random,0.12,,,0.6,47.0,44.166667,0.190996,0.410929,0.532164,0.6,0.12,0.12,0.0,2,0.12,41.641011
6,uniform-random,0.12,,,0.2,48.0,14.833333,0.06294,0.136069,0.171299,0.2,0.12,0.12,0.0,2,0.12,34.484066
6,uniform-random,0.12,,,0.6,48.0,43.666667,0.188819,0.406253,0.509209,0.6,0.12,0.12,0.0,2,0.12,39.085531
6,uniform-random,0.12,,,0.2,49.0,14.833333,0.062815,0.135868,0.171314,0.2,0.12,0.12,0.0,2,0.12,36.180349
6,uniform-random,0.12,,,0.6,49.0,43.666667,0.188446,0.405651,0.509255,0.6,0.12,0.12,0.0,2,0.12,38.209525
6,uniform-random,0.12,,,0.2,50.0,19.0,0.079736,0.172868,0.173851,0.2,0.12,0.12,0.0,2,0.12,40.578905
6,uniform-random,0.12,,,0.6,50.0,55.5,0.239208,0.515089,0.519209,0.6,0.12,0.12,0.0,2,0.12,37.441969
6,uniform-random,0.12,,,0.2,51.0,15.833333,0.067626,0.145956,0.175412,0.2,0.12,0.12,0.0,2,0.12,58.192063
6,uniform-random,0.12,,,0.6,51.0,46.833333,0.20288,0.436305,0.523892,0.6,0.12,0.12,0.0,2,0.12,64.321782
6,uniform-random,0.12,,,0.2,52.0,13.0,0.055061,0.119091,0.174235,0.2,0.12,0.12,0.0,2,0.12,47.122701
6,uniform-random,0.12,,,0.6,52.0,38.166667,0.165182,0.355319,0.520361,0.6,0.12,0.12,0.0,2,0.12,38.179054
6,uniform-random,0.12,,,0.2,53.0,15.0,0.063788,0.137824,0.171299,0.2,0.12,0.12,0.0,2,0.12,35.227858
6,uniform-random,0.12,,,0.6,53.0,44.333333,0.191362,0.411908,0.509209,0.6,0.12,0.12,0.0,2,0.12,38.280511
6,uniform-random,0.12,,,0.2,54.0,16.333333,0.068805,0.149024,0.172452,0.2,0.12,0.12,0.0,2,0.12,36.832503
6,uniform-random,0.12,,,0.6,54.0,47.666667,0.206414,0.443947,0.512668,0.6,0.12,0.12,0.0,2,0.12,33.75374
4,harmonic-stride,0.12,0.0,1.0,0.2,46.0,17.5,0.075638,0.156154,0.185906,0.2,0.12,0.12,0.0,2,0.12,37.771892
4,harmonic-stride,0.12,0.0,1.0,0.6,46.0,51.5,0.226914,0.466117,0.553031,0.6,0.12,0.12,0.0,2,0.12,33.233163
4,harmonic-stride,0.12,0.0,1.0,0.2,47.0,16.166667,0.069478,0.143652,0.185658,0.2,0.12,0.12,0.0,2,0.12,39.926531
4,harmonic-stride,0.12,0.0,1.0,0.6,47.0,47.333333,0.208435,0.428222,0.552288,0.6,0.12,0.12,0.0,2,0.12,38.741686
4,harmonic-stride,0.12,0.0,1.0,0.2,48.0,16.0,0.068643,0.141989,0.177068,0.2,0.12,0.12,0.0,2,0.12,32.86276
4,harmonic-stride,0.12,0.0,1.0,0.6,48.0,46.833333,0.205927,0.423233,0.526516,0.6,0.12,0.12,0.0,2,0.12,43.914201
4,harmonic-stride,0.12,0.0,1.0,0.2,49.0,16.0,0.068552,0.141851,0.177333,0.2,0.12,0.12,0.0,2,0.12,40.788002
4,harmonic-stride,0.12,0.0,1.0,0.6,49.0,46.833333,0.205656,0.42282,0.527313,0.6,0.12,0.12,0.0,2,0.12,38.417172
4,harmonic-stride,0.12,0.0,1.0,0.2,50.0,20.0,0.086991,0.179295,0.1812,0.2,0.12,0.12,0.0,2,0.12,42.234854
4,harmonic-stride,0.12,0.0,1.0,0.6,50.0,59.166667,0.260973,0.535931,0.5436,0.6,0.12,0.12,0.0,2,0.12,30.686144
4,harmonic-stride,0.12,0.0,1.0,0.2,51.0,17.0,0.073741,0.152094,0.181285,0.2,0.12,0.12,0.0,2,0.12,37.820339
4,harmonic-stride,0.12,0.0,1.0,0.6,51.0,50.166667,0.221223,0.45433,0.543856,0.6,0.12,0.12,0.0,2,0.12,44.081599
4,harmonic-stride,0.12,0.0,1.0,0.2,52.0,13.833333,0.060088,0.123889,0.181681,0.2,0.12,0.12,0.0,2,0.12,36.14301
4,harmonic-stride,0.12,0.0,1.0,0.6,52.0,41.0,0.180264,0.370496,0.545044,0.6,0.12,0.12,0.0,2,0.12,37.150319
4,harmonic-stride,0.12,0.0,1.0,0.2,53.0,16.166667,0.069607,0.143848,0.177068,0.2,0.12,0.12,0.0,2,0.12,39.716659
4,harmonic-stride,0.12,0.0,1.0,0.6,53.0,47.5,0.208821,0.4292,0.526516,0.6,0.12,0.12,0.0,2,0.12,40.282023
4,harmonic-stride,0.12,0.0,1.0,0.2,54.0,17.333333,0.075058,0.15488,0.179127,0.2,0.12,0.12,0.0,2,0.12,36.448329
4,harmonic-stride,0.12,0.0,1.0,0.6,54.0,51.166667,0.225174,0.462687,0.535037,0.6,0.12,0.12,0.0,2,0.12,46.475855
5,harmonic-stride,0.12,0.0,1.0,0.2,46.0,17.833333,0.077518,0.159796,0.188625,0.2,0.12,0.12,0.0,2,0.12,46.503196
5,harmonic-stride,0.12,0.0,1.0,0.6,46.0,52.666667,0.232552,0.477434,0.563531,0.6,0.12,0.12,0.0,2,0.12,32.122571
5,harmonic-stride,0.12,0.0,1.0,0.2,47.0,16.5,0.071118,0.14693,0.189999,0.2,0.12,0.12,0.0,2,0.12,42.95177
5,harmonic-stride,0.12,0.0,1.0,0.6,47.0,48.333333,0.213355,0.438055,0.569996,0.6,0.12,0.12,0.0,2,0.12,32.443259
5,harmonic-stride,0.12,0.0,1.0,0.2,48.0,16.166667,0.070358,0.144992,0.181456,0.2,0.12,0.12,0.0,2,0.12,37.827836
5,harmonic-stride,0.12,0.0,1.0,0.6,48.0,47.833333,0.211075,0.433413,0.544369,0.6,0.12,0.12,0.0,2,0.12,35.079932
5,harmonic-stride,0.12,0.0,1.0,0.2,49.0,16.333333,0.070164,0.145087,0.181192,0.2,0.12,0.12,0.0,2,0.12,35.040683
5,harmonic-stride,0.12,0.0,1.0,0.6,49.0,47.833333,0.210493,0.432527,0.543576,0.6,0.12,0.12,0.0,2,0.12,40.934869
5,harmonic-stride,0.12,0.0,1.0,0.2,50.0,20.5,0.089092,0.183665,0.185539,0.2,0.12,0.12,0.0,2,0.12,42.889837
5,harmonic-stride,0.12,0.0,1.0,0.6,50.0,60.5,0.267276,0.548651,0.551928,0.6,0.12,0.12,0.0,2,0.12,37.023937
5,harmonic-stride,0.12,0.0,1.0,0.2,51.0,17.5,0.075583,0.156069,0.187905,0.2,0.12,0.12,0.0,2,0.12,42.097135
5,harmonic-stride,0.12,0.0,1.0,0.6,51.0,51.5,0.226747,0.465863,0.561371,0.6,0.12,0.12,0.0,2,0.12,34.780055
5,harmonic-stride,0.12,0.0,1.0,0.2,52.0,14.333333,0.061513,0.12723,0.185666,0.2,0.12,0.12,0.0,2,0.12,37.133396
5,harmonic-stride,0.12,0.0,1.0,0.6,52.0,41.833333,0.184539,0.378956,0.552311,0.6,0.12,0.12,0.0,2,0.12,44.001094
5,harmonic-stride,0.12,0.0,1.0,0.2,53.0,16.5,0.071275,0.147168,0.181456,0.2,0.12,0.12,0.0,2,0.12,51.261495
5,harmonic-stride,0.12,0.0,1.0,0.6,53.0,48.666667,0.213825,0.439551,0.544369,0.6,0.12,0.12,0.0,2,0.12,42.236126
5,harmonic-stride,0.12,0.0,1.0,0.2,54.0,17.833333,0.076873,0.158815,0.181758,0.2,0.12,0.12,0.0,2,0.12,35.033478
5,harmonic-stride,0.12,0.0,1.0,0.6,54.0,52.333333,0.23062,0.473711,0.545273,0.6,0.12,0.12,0.0,2,0.12,34.526381
6,harmonic-stride,0.12,0.0,1.0,0.2,46.0,17.833333,0.078008,0.160543,0.189659,0.2,0.12,0.12,0.0,2,0.12,45.12043
6,harmonic-stride,0.12,0.0,1.0,0.6,46.0,53.0,0.234024,0.480456,0.568976,0.6,0.12,0.12,0.0,2,0.12,43.086533
6,harmonic-stride,0.12,0.0,1.0,0.2,47.0,16.5,0.071602,0.147666,0.190576,0.2,0.12,0.12,0.0,2,0.12,39.963606
6,harmonic-stride,0.12,0.0,1.0,0.6,47.0,48.833333,0.214806,0.441435,0.571727,0.6,0.12,0.12,0.0,2,0.12,43.029254
6,harmonic-stride,0.12,0.0,1.0,0.2,48.0,16.166667,0.070797,0.145659,0.181786,0.2,0.12,0.12,0.0,2,0.12,38.520829
6,harmonic-stride,0.12,0.0,1.0,0.6,48.0,48.0,0.21239,0.435805,0.545358,0.6,0.12,0.12,0.0,2,0.12,41.716475
6,harmonic-stride,0.12,0.0,1.0,0.2,49.0,16.333333,0.070643,0.145816,0.181786,0.2,0.12,0.12,0.0,2,0.12,40.806981
6,harmonic-stride,0.12,0.0,1.0,0.6,49.0,48.0,0.211929,0.435103,0.545358,0.6,0.12,0.12,0.0,2,0.12,37.800685
6,harmonic-stride,0.12,0.0,1.0,0.2,50.0,20.666667,0.089678,0.184948,0.186795,0.2,0.12,0.12,0.0,2,0.12,39.317339
6,harmonic-stride,0.12,0.0,1.0,0.6,50.0,60.666667,0.269035,0.551719,0.555699,0.6,0.12,0.12,0.0,2,0.12,50.936325
6,harmonic-stride,0.12,0.0,1.0,0.2,51.0,17.5,0.076059,0.156794,0.188473,0.2,0.12,0.12,0.0,2,0.12,44.154217
6,harmonic-stride,0.12,0.0,1.0,0.6,51.0,51.666667,0.228176,0.468429,0.563076,0.6,0.12,0.12,0.0,2,0.12,49.085749
6,harmonic-stride,0.12,0.0,1.0,0.2,52.0,14.333333,0.061933,0.12787,0.187187,0.2,0.12,0.12,0.0,2,0.12,49.132086
6,harmonic-stride,0.12,0.0,1.0,0.6,52.0,42.166667,0.185801,0.381658,0.559217,0.6,0.12,0.12,0.0,2,0.12,58.000001
6,harmonic-stride,0.12,0.0,1.0,0.2,53.0,16.5,0.071739,0.147875,0.181786,0.2,0.12,0.12,0.0,2,0.12,50.569226
6,harmonic-stride,0.12,0.0,1.0,0.6,53.0,48.666667,0.215218,0.441672,0.545358,0.6,0.12,0.12,0.0,2,0.12,60.524771
6,harmonic-stride,0.12,0.0,1.0,0.2,54.0,18.0,0.077381,0.159978,0.185101,0.2,0.12,0.12,0.0,2,0.12,50.316642
6,harmonic-stride,0.12,0.0,1.0,0.6,54.0,52.666667,0.232142,0.476809,0.550617,0.6,0.12,0.12,0.0,2,0.12,42.639816
4,low-grade-bias,0.12,0.0,1.0,0.2,46.0,20.0,0.098817,0.170226,0.213879,,0.12,0.12,0.0,2,0.12,46.773223
4,low-grade-bias,0.12,0.0,1.0,0.6,46.0,58.333333,0.296452,0.502476,0.615855,0.6,0.12,0.12,0.0,2,0.12,41.331958
4,low-grade-bias,0.12,0.0,1.0,0.2,47.0,18.166667,0.090375,0.155391,0.197044,,0.12,0.12,0.0,2,0.12,36.045092
4,low-grade-bias,0.12,0.0,1.0,0.6,47.0,53.333333,0.271124,0.461876,0.579414,0.6,0.12,0.12,0.0,2,0.12,36.705736
4,low-grade-bias,0.12,0.0,1.0,0.2,48.0,18.166667,0.090473,0.155514,0.207355,,0.12,0.12,0.0,2,0.12,41.118436
4,low-grade-bias,0.12,0.0,1.0,0.6,48.0,53.333333,0.27142,0.460292,0.603314,0.6,0.12,0.12,0.0,2,0.12,36.892205
4,low-grade-bias,0.12,0.0,1.0,0.2,49.0,18.166667,0.090678,0.15577,0.208057,,0.12,0.12,0.0,2,0.12,35.325605
4,low-grade-bias,0.12,0.0,1.0,0.6,49.0,53.5,0.272035,0.459887,0.605421,0.6,0.12,0.12,0.0,2,0.12,36.274899
4,low-grade-bias,0.12,0.0,1.0,0.2,50.0,22.666667,0.114224,0.195708,0.213324,,0.12,0.12,0.0,2,0.12,38.676743
4,low-grade-bias,0.12,0.0,1.0,0.6,50.0,67.166667,0.342671,0.576576,0.614192,0.6,0.12,0.12,0.0,2,0.12,38.578039
4,low-grade-bias,0.12,0.0,1.0,0.2,51.0,19.5,0.096507,0.166171,0.213879,,0.12,0.12,0.0,2,0.12,39.104453
4,low-grade-bias,0.12,0.0,1.0,0.6,51.0,57.0,0.289522,0.4907,0.615855,0.6,0.12,0.12,0.0,2,0.12,37.313548
4,low-grade-bias,0.12,0.0,1.0,0.2,52.0,16.0,0.078921,0.136015,0.197044,,0.12,0.12,0.0,2,0.12,33.968512
4,low-grade-bias,0.12,0.0,1.0,0.6,52.0,46.666667,0.236763,0.403749,0.579414,0.6,0.12,0.12,0.0,2,0.12,40.826379
4,low-grade-bias,0.12,0.0,1.0,0.2,53.0,18.5,0.091602,0.157704,0.207355,,0.12,0.12,0.0,2,0.12,40.460938
