n_qubits,state_model,first_crossing_density,delta_from_uniform,ratio_to_uniform,perturbation_amplitude,perturbation_frequency,phase_relaxation_steps_mean,torsion_hysteresis_mean,volatility_index_mean,volatility_index_max,catastrophic_unraveling_amplitude,spread_min,spread_max,spread,crossing_seed_count,density_threshold,wall_runtime_ms
4,uniform-random,0.12,,,0.0,4.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,36.545101
4,uniform-random,0.12,,,0.2,4.0,15.833333,0.066808,0.144638,0.167316,0.2,0.12,0.12,0.0,2,0.12,35.59091
4,uniform-random,0.12,,,0.6,4.0,46.5,0.200422,0.431569,0.501947,0.6,0.12,0.12,0.0,2,0.12,37.675433
4,uniform-random,0.12,,,0.0,6.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,38.503317
4,uniform-random,0.12,,,0.2,6.0,13.833333,0.058402,0.126422,0.168377,0.2,0.12,0.12,0.0,2,0.12,36.276304
4,uniform-random,0.12,,,0.6,6.0,40.5,0.175207,0.376921,0.50513,0.6,0.12,0.12,0.0,2,0.12,38.116724
4,uniform-random,0.12,,,0.0,8.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,42.458423
4,uniform-random,0.12,,,0.2,8.0,16.5,0.069555,0.150622,0.173164,0.2,0.12,0.12,0.0,2,0.12,31.283438
4,uniform-random,0.12,,,0.6,8.0,48.166667,0.208665,0.448742,0.514804,0.6,0.12,0.12,0.0,2,0.12,34.756475
4,uniform-random,0.12,,,0.0,10.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,42.305257
4,uniform-random,0.12,,,0.2,10.0,16.666667,0.071318,0.153849,0.168435,0.2,0.12,0.12,0.0,2,0.12,37.506104
4,uniform-random,0.12,,,0.6,10.0,49.333333,0.213952,0.459986,0.505306,0.6,0.12,0.12,0.0,2,0.12,35.345823
4,uniform-random,0.12,,,0.0,12.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,43.462989
4,uniform-random,0.12,,,0.2,12.0,14.666667,0.061642,0.13359,0.17464,0.2,0.12,0.12,0.0,2,0.12,45.132312
4,uniform-random,0.12,,,0.6,12.0,42.833333,0.184927,0.398034,0.521576,0.6,0.12,0.12,0.0,2,0.12,32.175072
4,uniform-random,0.12,,,0.0,14.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,33.259973
4,uniform-random,0.12,,,0.2,14.0,15.0,0.063189,0.13686,0.166481,0.2,0.12,0.12,0.0,2,0.12,38.707282
