n_qubits,state_model,first_crossing_density,delta_from_uniform,ratio_to_uniform,perturbation_amplitude,perturbation_frequency,phase_relaxation_steps_mean,torsion_hysteresis_mean,volatility_index_mean,volatility_index_max,catastrophic_unraveling_amplitude,spread_min,spread_max,spread,crossing_seed_count,density_threshold,wall_runtime_ms
4,uniform-random,0.12,,,0.2,46.0,15.833333,0.067316,0.145455,0.173856,0.2,0.12,0.12,0.0,2,0.12,42.711095
4,uniform-random,0.12,,,0.6,46.0,46.833333,0.201946,0.434802,0.519224,0.6,0.12,0.12,0.0,2,0.12,38.453462
4,uniform-random,0.12,,,0.2,46.25,16.0,0.06852,0.147784,0.174321,0.2,0.12,0.12,0.0,2,0.12,38.97026
4,uniform-random,0.12,,,0.6,46.25,47.333333,0.205558,0.441789,0.52062,0.6,0.12,0.12,0.0,2,0.12,43.899736
4,uniform-random,0.12,,,0.2,46.5,16.0,0.067699,0.146463,0.167845,0.2,0.12,0.12,0.0,2,0.12,39.030157
4,uniform-random,0.12,,,0.6,46.5,47.0,0.203097,0.437045,0.503536,0.6,0.12,0.12,0.0,2,0.12,30.839798
4,uniform-random,0.12,,,0.2,46.75,14.333333,0.060615,0.131155,0.165228,0.2,0.12,0.12,0.0,2,0.12,40.798959
4,uniform-random,0.12,,,0.6,46.75,42.0,0.181845,0.391121,0.493341,0.6,0.12,0.12,0.0,2,0.12,39.806887
4,uniform-random,0.12,,,0.2,47.0,14.5,0.061781,0.133422,0.168888,0.2,0.12,0.12,0.0,2,0.12,34.887206
4,uniform-random,0.12,,,0.6,47.0,42.833333,0.185342,0.398703,0.506663,0.6,0.12,0.12,0.0,2,0.12,37.488015
4,uniform-random,0.12,,,0.2,47.25,16.0,0.067724,0.146503,0.173939,0.2,0.12,0.12,0.0,2,0.12,33.307698
4,uniform-random,0.12,,,0.6,47.25,47.0,0.203172,0.437167,0.519473,0.6,0.12,0.12,0.0,2,0.12,40.668715
4,uniform-random,0.12,,,0.2,47.5,16.666667,0.071318,0.153849,0.168435,0.2,0.12,0.12,0.0,2,0.12,37.998068
4,uniform-random,0.12,,,0.6,47.5,49.333333,0.213952,0.459986,0.505306,0.6,0.12,0.12,0.0,2,0.12,38.878276
4,uniform-random,0.12,,,0.2,47.75,16.166667,0.068271,0.147774,0.174102,0.2,0.12,0.12,0.0,2,0.12,45.783278
4,uniform-random,0.12,,,0.6,47.75,47.5,0.204812,0.440978,0.519963,0.6,0.12,0.12,0.0,2,0.12,34.468306
4,uniform-random,0.12,,,0.2,48.0,14.5,0.061126,0.132367,0.16555,0.2,0.12,0.12,0.0,2,0.12,38.980224
4,uniform-random,0.12,,,0.6,48.0,42.333333,0.183377,0.394367,0.494307,0.6,0.12,0.12,0.0,2,0.12,39.127784
4,uniform-random,0.12,,,0.2,48.25,13.666667,0.056811,0.12347,0.173943,0.2,0.12,0.12,0.0,2,0.12,37.397583
4,uniform-random,0.12,,,0.6,48.25,39.666667,0.170432,0.367283,0.519484,0.6,0.12,0.12,0.0,2,0.12,39.192196
4,uniform-random,0.12,,,0.2,48.5,13.5,0.057298,0.123863,0.168377,0.2,0.12,0.12,0.0,2,0.12,34.248237
4,uniform-random,0.12,,,0.6,48.5,39.833333,0.171894,0.370027,0.50513,0.6,0.12,0.12,0.0,2,0.12,43.366177
4,uniform-random,0.12,,,0.2,48.75,13.5,0.057869,0.124782,0.167926,0.2,0.12,0.12,0.0,2,0.12,39.553159
4,uniform-random,0.12,,,0.6,48.75,40.0,0.173607,0.373174,0.503778,0.6,0.12,0.12,0.0,2,0.12,40.505204
4,uniform-random,0.12,,,0.2,49.0,14.666667,0.061096,0.132711,0.1658,0.2,0.12,0.12,0.0,2,0.12,40.118163
4,uniform-random,0.12,,,0.6,49.0,42.666667,0.183289,0.395007,0.495056,0.6,0.12,0.12,0.0,2,0.12,40.334787
4,uniform-random,0.12,,,0.2,49.25,13.666667,0.057651,0.124822,0.173008,0.2,0.12,0.12,0.0,2,0.12,37.025194
4,uniform-random,0.12,,,0.6,49.25,40.0,0.172953,0.372123,0.514338,0.6,0.12,0.12,0.0,2,0.12,40.825038
4,uniform-random,0.12,,,0.2,49.5,14.666667,0.061642,0.13359,0.17464,0.2,0.12,0.12,0.0,2,0.12,43.589475
4,uniform-random,0.12,,,0.6,49.5,42.833333,0.184927,0.398034,0.521576,0.6,0.12,0.12,0.0,2,0.12,46.72565
4,uniform-random,0.12,,,0.2,49.75,16.666667,0.070416,0.152398,0.173939,0.2,0.12,0.12,0.0,2,0.12,40.704734
4,uniform-random,0.12,,,0.6,49.75,48.833333,0.211247,0.45446,0.519473,0.6,0.12,0.12,0.0,2,0.12,37.999863
4,uniform-random,0.12,,,0.2,50.0,18.0,0.077449,0.166844,0.168649,0.2,0.12,0.12,0.0,2,0.12,42.0754
4,uniform-random,0.12,,,0.6,50.0,53.333333,0.232347,0.498968,0.505946,0.6,0.12,0.12,0.0,2,0.12,51.599309
4,uniform-random,0.12,,,0.2,50.25,18.5,0.078524,0.169746,0.174524,0.2,0.12,0.12,0.0,2,0.12,46.867761
4,uniform-random,0.12,,,0.6,50.25,54.5,0.235573,0.506894,0.521229,0.6,0.12,0.12,0.0,2,0.12,42.347929
4,uniform-random,0.12,,,0.2,50.5,16.833333,0.071426,0.154414,0.173451,0.2,0.12,0.12,0.0,2,0.12,38.179998
4,uniform-random,0.12,,,0.6,50.5,49.333333,0.214277,0.460509,0.515665,0.6,0.12,0.12,0.0,2,0.12,46.3858
4,uniform-random,0.12,,,0.2,50.75,15.666667,0.065698,0.142461,0.173943,0.2,0.12,0.12,0.0,2,0.12,45.498943
4,uniform-random,0.12,,,0.6,50.75,45.666667,0.197094,0.424258,0.519484,0.6,0.12,0.12,0.0,2,0.12,31.012136
4,uniform-random,0.12,,,0.2,51.0,15.5,0.065619,0.141943,0.168377,0.2,0.12,0.12,0.0,2,0.12,37.410829
4,uniform-random,0.12,,,0.6,51.0,45.666667,0.196856,0.423874,0.50513,0.6,0.12,0.12,0.0,2,0.12,40.811601
4,uniform-random,0.12,,,0.2,51.25,15.333333,0.06536,0.141137,0.168895,0.2,0.12,0.12,0.0,2,0.12,39.293425
4,uniform-random,0.12,,,0.6,51.25,45.166667,0.196081,0.421456,0.506684,0.6,0.12,0.12,0.0,2,0.12,39.710554
4,uniform-random,0.12,,,0.2,51.5,15.0,0.063189,0.13686,0.166481,0.2,0.12,0.12,0.0,2,0.12,37.456899
4,uniform-random,0.12,,,0.6,51.5,43.833333,0.189566,0.407846,0.497099,0.6,0.12,0.12,0.0,2,0.12,39.497793
4,uniform-random,0.12,,,0.2,51.75,12.833333,0.054271,0.117428,0.165228,0.2,0.12,0.12,0.0,2,0.12,34.985067
4,uniform-random,0.12,,,0.6,51.75,37.833333,0.162813,0.350723,0.493341,0.6,0.12,0.12,0.0,2,0.12,38.031198
4,uniform-random,0.12,,,0.2,52.0,12.833333,0.05342,0.11606,0.168888,0.2,0.12,0.12,0.0,2,0.12,43.333918
4,uniform-random,0.12,,,0.6,52.0,37.166667,0.160261,0.345053,0.506663,0.6,0.12,0.12,0.0,2,0.12,41.832456
4,uniform-random,0.12,,,0.2,52.25,14.833333,0.061932,0.134447,0.173939,0.2,0.12,0.12,0.0,2,0.12,33.690639
4,uniform-random,0.12,,,0.6,52.25,43.166667,0.185796,0.400214,0.519473,0.6,0.12,0.12,0.0,2,0.12,43.233306
4,uniform-random,0.12,,,0.2,52.5,16.0,0.068299,0.147428,0.168435,0.2,0.12,0.12,0.0,2,0.12,48.857291
4,uniform-random,0.12,,,0.6,52.5,47.166667,0.204896,0.440331,0.505306,0.6,0.12,0.12,0.0,2,0.12,42.332907
4,uniform-random,0.12,,,0.2,52.75,16.166667,0.068133,0.147551,0.174102,0.2,0.12,0.12,0.0,2,0.12,36.675376
4,uniform-random,0.12,,,0.6,52.75,47.333333,0.204397,0.439919,0.519963,0.6,0.12,0.12,0.0,2,0.12,32.931303
4,uniform-random,0.12,,,0.2,53.0,14.666667,0.062089,0.134309,0.16555,0.2,0.12,0.12,0.0,2,0.12,44.62106
4,uniform-random,0.12,,,0.6,53.0,43.0,0.186268,0.400584,0.494307,0.6,0.12,0.12,0.0,2,0.12,66.97842
4,uniform-random,0.12,,,0.2,53.25,14.333333,0.060504,0.130976,0.173943,0.2,0.12,0.12,0.0,2,0.12,34.156455
4,uniform-random,0.12,,,0.6,53.25,42.166667,0.181512,0.390975,0.519484,0.6,0.12,0.12,0.0,2,0.12,41.253093
